VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.225,urn:cite:hclat:analyses.1492,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.226,urn:cite:hclat:analyses.1493,,,present,infinitive,active,,,conj1
urn:cite:hclat:verbAnalyses.227,urn:cite:hclat:analyses.1493,2nd,singular,present,imperative,passive,,,conj1
urn:cite:hclat:verbAnalyses.228,urn:cite:hclat:analyses.1493,2nd,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.229,urn:cite:hclat:analyses.15,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.230,urn:cite:hclat:analyses.15,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.231,urn:cite:hclat:analyses.15,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.232,urn:cite:hclat:analyses.15,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.233,urn:cite:hclat:analyses.15,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.234,urn:cite:hclat:analyses.15,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.235,urn:cite:hclat:analyses.172,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.236,urn:cite:hclat:analyses.181,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.237,urn:cite:hclat:analyses.181,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.238,urn:cite:hclat:analyses.188,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.239,urn:cite:hclat:analyses.199,2nd,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.240,urn:cite:hclat:analyses.223,1st,singular,perfect,indicative,active,,,ivperf
urn:cite:hclat:verbAnalyses.241,urn:cite:hclat:analyses.237,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.242,urn:cite:hclat:analyses.24,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.243,urn:cite:hclat:analyses.250,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.244,urn:cite:hclat:analyses.252,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.245,urn:cite:hclat:analyses.261,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.246,urn:cite:hclat:analyses.264,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.247,urn:cite:hclat:analyses.267,,,present,infinitive,passive,,,conj4
urn:cite:hclat:verbAnalyses.248,urn:cite:hclat:analyses.268,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.249,urn:cite:hclat:analyses.27,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.250,urn:cite:hclat:analyses.27,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.251,urn:cite:hclat:analyses.27,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.252,urn:cite:hclat:analyses.27,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.253,urn:cite:hclat:analyses.27,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.254,urn:cite:hclat:analyses.27,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.255,urn:cite:hclat:analyses.272,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.256,urn:cite:hclat:analyses.272,2nd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.257,urn:cite:hclat:analyses.273,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.258,urn:cite:hclat:analyses.277,,singular,perfect,participle,passive,feminine,accusative,pp4
urn:cite:hclat:verbAnalyses.259,urn:cite:hclat:analyses.279,3rd,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.260,urn:cite:hclat:analyses.281,,plural,,gerundive,passive,masculine,genitive,conj3_io
urn:cite:hclat:verbAnalyses.261,urn:cite:hclat:analyses.281,,plural,,gerundive,passive,neuter,genitive,conj3_io
urn:cite:hclat:verbAnalyses.262,urn:cite:hclat:analyses.281,,singular,,gerundive,passive,masculine,accusative,conj3_io
urn:cite:hclat:verbAnalyses.263,urn:cite:hclat:analyses.281,,singular,,gerundive,passive,neuter,accusative,conj3_io
urn:cite:hclat:verbAnalyses.264,urn:cite:hclat:analyses.281,,singular,,gerundive,passive,neuter,nominative,conj3_io
urn:cite:hclat:verbAnalyses.265,urn:cite:hclat:analyses.281,,singular,,gerundive,passive,neuter,vocative,conj3_io
urn:cite:hclat:verbAnalyses.266,urn:cite:hclat:analyses.285,,,present,infinitive,passive,,,conj3
urn:cite:hclat:verbAnalyses.267,urn:cite:hclat:analyses.287,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.268,urn:cite:hclat:analyses.287,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.269,urn:cite:hclat:analyses.287,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.270,urn:cite:hclat:analyses.287,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.271,urn:cite:hclat:analyses.287,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.272,urn:cite:hclat:analyses.288,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.273,urn:cite:hclat:analyses.288,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.274,urn:cite:hclat:analyses.288,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.275,urn:cite:hclat:analyses.288,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.276,urn:cite:hclat:analyses.288,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.277,urn:cite:hclat:analyses.288,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.278,urn:cite:hclat:analyses.288,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.279,urn:cite:hclat:analyses.289,3rd,singular,present,subjunctive,active,,,conj3
urn:cite:hclat:verbAnalyses.280,urn:cite:hclat:analyses.298,,plural,,gerundive,passive,masculine,genitive,conj3
urn:cite:hclat:verbAnalyses.281,urn:cite:hclat:analyses.298,,plural,,gerundive,passive,neuter,genitive,conj3
urn:cite:hclat:verbAnalyses.282,urn:cite:hclat:analyses.298,,singular,,gerundive,passive,masculine,accusative,conj3
urn:cite:hclat:verbAnalyses.283,urn:cite:hclat:analyses.298,,singular,,gerundive,passive,neuter,accusative,conj3
urn:cite:hclat:verbAnalyses.284,urn:cite:hclat:analyses.298,,singular,,gerundive,passive,neuter,nominative,conj3
urn:cite:hclat:verbAnalyses.285,urn:cite:hclat:analyses.298,,singular,,gerundive,passive,neuter,vocative,conj3
urn:cite:hclat:verbAnalyses.286,urn:cite:hclat:analyses.299,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.287,urn:cite:hclat:analyses.299,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.288,urn:cite:hclat:analyses.299,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.289,urn:cite:hclat:analyses.299,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.290,urn:cite:hclat:analyses.299,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.291,urn:cite:hclat:analyses.299,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.292,urn:cite:hclat:analyses.299,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.293,urn:cite:hclat:analyses.304,,singular,present,participle,active,feminine,nominative,conj3
urn:cite:hclat:verbAnalyses.294,urn:cite:hclat:analyses.304,,singular,present,participle,active,feminine,vocative,conj3
urn:cite:hclat:verbAnalyses.295,urn:cite:hclat:analyses.304,,singular,present,participle,active,masculine,nominative,conj3
urn:cite:hclat:verbAnalyses.296,urn:cite:hclat:analyses.304,,singular,present,participle,active,masculine,vocative,conj3
urn:cite:hclat:verbAnalyses.297,urn:cite:hclat:analyses.304,,singular,present,participle,active,neuter,accusative,conj3
urn:cite:hclat:verbAnalyses.298,urn:cite:hclat:analyses.304,,singular,present,participle,active,neuter,nominative,conj3
urn:cite:hclat:verbAnalyses.299,urn:cite:hclat:analyses.304,,singular,present,participle,active,neuter,vocative,conj3
urn:cite:hclat:verbAnalyses.300,urn:cite:hclat:analyses.310,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.301,urn:cite:hclat:analyses.310,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.302,urn:cite:hclat:analyses.310,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.303,urn:cite:hclat:analyses.310,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.304,urn:cite:hclat:analyses.310,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.305,urn:cite:hclat:analyses.310,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.306,urn:cite:hclat:analyses.310,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.307,urn:cite:hclat:analyses.320,,singular,present,participle,active,feminine,ablative,conj1
urn:cite:hclat:verbAnalyses.308,urn:cite:hclat:analyses.320,,singular,present,participle,active,masculine,ablative,conj1
urn:cite:hclat:verbAnalyses.309,urn:cite:hclat:analyses.320,,singular,present,participle,active,neuter,ablative,conj1
urn:cite:hclat:verbAnalyses.310,urn:cite:hclat:analyses.321,3rd,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.311,urn:cite:hclat:analyses.332,,,present,infinitive,active,,,conj1
urn:cite:hclat:verbAnalyses.312,urn:cite:hclat:analyses.332,,,present,infinitive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.313,urn:cite:hclat:analyses.332,2nd,singular,present,imperative,passive,,,conj1
urn:cite:hclat:verbAnalyses.314,urn:cite:hclat:analyses.332,2nd,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.315,urn:cite:hclat:analyses.334,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.316,urn:cite:hclat:analyses.334,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.317,urn:cite:hclat:analyses.334,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.318,urn:cite:hclat:analyses.334,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.319,urn:cite:hclat:analyses.334,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.320,urn:cite:hclat:analyses.334,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.321,urn:cite:hclat:analyses.335,3rd,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.322,urn:cite:hclat:analyses.338,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.323,urn:cite:hclat:analyses.339,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.324,urn:cite:hclat:analyses.341,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.325,urn:cite:hclat:analyses.341,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.326,urn:cite:hclat:analyses.341,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.327,urn:cite:hclat:analyses.341,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.328,urn:cite:hclat:analyses.347,1st,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.329,urn:cite:hclat:analyses.348,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.330,urn:cite:hclat:analyses.349,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.331,urn:cite:hclat:analyses.349,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.332,urn:cite:hclat:analyses.349,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.333,urn:cite:hclat:analyses.349,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.334,urn:cite:hclat:analyses.349,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.335,urn:cite:hclat:analyses.349,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.336,urn:cite:hclat:analyses.350,3rd,plural,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.337,urn:cite:hclat:analyses.351,3rd,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.338,urn:cite:hclat:analyses.352,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.339,urn:cite:hclat:analyses.352,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.340,urn:cite:hclat:analyses.353,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.341,urn:cite:hclat:analyses.353,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.342,urn:cite:hclat:analyses.357,2nd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.343,urn:cite:hclat:analyses.358,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.344,urn:cite:hclat:analyses.358,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.345,urn:cite:hclat:analyses.358,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.346,urn:cite:hclat:analyses.358,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.347,urn:cite:hclat:analyses.359,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.348,urn:cite:hclat:analyses.361,3rd,singular,present,subjunctive,active,,,conj1
urn:cite:hclat:verbAnalyses.349,urn:cite:hclat:analyses.362,3rd,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.350,urn:cite:hclat:analyses.363,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.351,urn:cite:hclat:analyses.363,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.352,urn:cite:hclat:analyses.363,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.353,urn:cite:hclat:analyses.363,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.354,urn:cite:hclat:analyses.364,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.355,urn:cite:hclat:analyses.368,3rd,singular,perfect,indicative,active,,,avperf
urn:cite:hclat:verbAnalyses.356,urn:cite:hclat:analyses.369,,singular,,gerundive,passive,masculine,ablative,conj3
urn:cite:hclat:verbAnalyses.357,urn:cite:hclat:analyses.369,,singular,,gerundive,passive,masculine,dative,conj3
urn:cite:hclat:verbAnalyses.358,urn:cite:hclat:analyses.369,,singular,,gerundive,passive,neuter,ablative,conj3
urn:cite:hclat:verbAnalyses.359,urn:cite:hclat:analyses.369,,singular,,gerundive,passive,neuter,dative,conj3
urn:cite:hclat:verbAnalyses.360,urn:cite:hclat:analyses.373,,,present,infinitive,active,,,conj3
urn:cite:hclat:verbAnalyses.361,urn:cite:hclat:analyses.373,2nd,singular,future,indicative,passive,,,conj3
urn:cite:hclat:verbAnalyses.362,urn:cite:hclat:analyses.373,2nd,singular,present,imperative,passive,,,conj3
urn:cite:hclat:verbAnalyses.363,urn:cite:hclat:analyses.373,2nd,singular,present,indicative,passive,,,conj3
urn:cite:hclat:verbAnalyses.364,urn:cite:hclat:analyses.39,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.365,urn:cite:hclat:analyses.39,2nd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.366,urn:cite:hclat:analyses.390,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.367,urn:cite:hclat:analyses.403,2nd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.368,urn:cite:hclat:analyses.403,2nd,singular,present,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.369,urn:cite:hclat:analyses.412,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.370,urn:cite:hclat:analyses.412,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.371,urn:cite:hclat:analyses.412,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.372,urn:cite:hclat:analyses.412,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.373,urn:cite:hclat:analyses.413,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.374,urn:cite:hclat:analyses.413,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.375,urn:cite:hclat:analyses.413,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.376,urn:cite:hclat:analyses.413,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.377,urn:cite:hclat:analyses.413,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.378,urn:cite:hclat:analyses.418,1st,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.379,urn:cite:hclat:analyses.430,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.380,urn:cite:hclat:analyses.433,,,present,infinitive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.381,urn:cite:hclat:analyses.434,3rd,singular,imperfect,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.382,urn:cite:hclat:analyses.435,3rd,singular,present,indicative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.383,urn:cite:hclat:analyses.449,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.384,urn:cite:hclat:analyses.449,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.385,urn:cite:hclat:analyses.449,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.386,urn:cite:hclat:analyses.449,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.387,urn:cite:hclat:analyses.452,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.388,urn:cite:hclat:analyses.452,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.389,urn:cite:hclat:analyses.452,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.390,urn:cite:hclat:analyses.452,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.391,urn:cite:hclat:analyses.452,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.392,urn:cite:hclat:analyses.452,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.393,urn:cite:hclat:analyses.456,,singular,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.394,urn:cite:hclat:analyses.457,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.395,urn:cite:hclat:analyses.457,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.396,urn:cite:hclat:analyses.457,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.397,urn:cite:hclat:analyses.457,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.398,urn:cite:hclat:analyses.457,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.399,urn:cite:hclat:analyses.457,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.400,urn:cite:hclat:analyses.457,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.401,urn:cite:hclat:analyses.458,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.402,urn:cite:hclat:analyses.466,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.403,urn:cite:hclat:analyses.467,,plural,,gerundive,passive,masculine,genitive,conj3_io
urn:cite:hclat:verbAnalyses.404,urn:cite:hclat:analyses.467,,plural,,gerundive,passive,neuter,genitive,conj3_io
urn:cite:hclat:verbAnalyses.405,urn:cite:hclat:analyses.467,,singular,,gerundive,passive,masculine,accusative,conj3_io
urn:cite:hclat:verbAnalyses.406,urn:cite:hclat:analyses.467,,singular,,gerundive,passive,neuter,accusative,conj3_io
urn:cite:hclat:verbAnalyses.407,urn:cite:hclat:analyses.467,,singular,,gerundive,passive,neuter,nominative,conj3_io
urn:cite:hclat:verbAnalyses.408,urn:cite:hclat:analyses.467,,singular,,gerundive,passive,neuter,vocative,conj3_io
urn:cite:hclat:verbAnalyses.409,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,feminine,ablative,conj3_io
urn:cite:hclat:verbAnalyses.410,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,feminine,dative,conj3_io
urn:cite:hclat:verbAnalyses.411,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,masculine,ablative,conj3_io
urn:cite:hclat:verbAnalyses.412,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,masculine,dative,conj3_io
urn:cite:hclat:verbAnalyses.413,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,neuter,ablative,conj3_io
urn:cite:hclat:verbAnalyses.414,urn:cite:hclat:analyses.468,,plural,,gerundive,passive,neuter,dative,conj3_io
urn:cite:hclat:verbAnalyses.415,urn:cite:hclat:analyses.469,,plural,,gerundive,passive,masculine,genitive,conj3_io
urn:cite:hclat:verbAnalyses.416,urn:cite:hclat:analyses.469,,plural,,gerundive,passive,neuter,genitive,conj3_io
urn:cite:hclat:verbAnalyses.417,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,masculine,accusative,conj3_io
urn:cite:hclat:verbAnalyses.418,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,accusative,conj3_io
urn:cite:hclat:verbAnalyses.419,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,nominative,conj3_io
urn:cite:hclat:verbAnalyses.420,urn:cite:hclat:analyses.469,,singular,,gerundive,passive,neuter,vocative,conj3_io
urn:cite:hclat:verbAnalyses.421,urn:cite:hclat:analyses.472,,,,supine,,,,pp4
urn:cite:hclat:verbAnalyses.422,urn:cite:hclat:analyses.472,,plural,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.423,urn:cite:hclat:analyses.472,,plural,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.424,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,masculine,accusative,pp4
urn:cite:hclat:verbAnalyses.425,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.426,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.427,urn:cite:hclat:analyses.472,,singular,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.428,urn:cite:hclat:analyses.480,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.429,urn:cite:hclat:analyses.481,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.430,urn:cite:hclat:analyses.486,1st,singular,present,subjunctive,passive,,,conj1
urn:cite:hclat:verbAnalyses.431,urn:cite:hclat:analyses.490,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.432,urn:cite:hclat:analyses.492,3rd,singular,present,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.433,urn:cite:hclat:analyses.497,,,present,infinitive,passive,,,irreg_pp1
urn:cite:hclat:verbAnalyses.434,urn:cite:hclat:analyses.5,1st,plural,imperfect,subjunctive,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.435,urn:cite:hclat:analyses.509,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.436,urn:cite:hclat:analyses.510,2nd,plural,present,imperative,passive,,,conj1
urn:cite:hclat:verbAnalyses.437,urn:cite:hclat:analyses.510,2nd,plural,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.438,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,accusative,conj2
urn:cite:hclat:verbAnalyses.439,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,nominative,conj2
urn:cite:hclat:verbAnalyses.440,urn:cite:hclat:analyses.515,,plural,present,participle,active,neuter,vocative,conj2
urn:cite:hclat:verbAnalyses.441,urn:cite:hclat:analyses.517,1st,singular,present,indicative,passive,,,conj1
urn:cite:hclat:verbAnalyses.442,urn:cite:hclat:analyses.519,2nd,singular,present,indicative,active,,,conj4
urn:cite:hclat:verbAnalyses.443,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.444,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.445,urn:cite:hclat:analyses.524,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.446,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.447,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.448,urn:cite:hclat:analyses.524,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.449,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.450,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.451,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.452,urn:cite:hclat:analyses.525,,singular,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.453,urn:cite:hclat:analyses.525,2nd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.454,urn:cite:hclat:analyses.525,3rd,singular,future,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.455,urn:cite:hclat:analyses.533,2nd,singular,present,imperative,active,,,conj1
urn:cite:hclat:verbAnalyses.456,urn:cite:hclat:analyses.534,3rd,plural,pluperfect,indicative,active,,,perfstem
