VerbAnalysis,CoreAnalysis,Person,Number,Tense,Mood,Voice,Gender,Case,PerseusType
urn:cite:hclat:verbAnalyses.67,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.68,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,feminine,dative,pp4
urn:cite:hclat:verbAnalyses.69,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,masculine,ablative,pp4
urn:cite:hclat:verbAnalyses.70,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,masculine,dative,pp4
urn:cite:hclat:verbAnalyses.71,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,masculine,nominative,pp4
urn:cite:hclat:verbAnalyses.72,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,masculine,vocative,pp4
urn:cite:hclat:verbAnalyses.73,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,neuter,ablative,pp4
urn:cite:hclat:verbAnalyses.74,urn:cite:hclat:analyses.1164,,plural,perfect,participle,passive,neuter,dative,pp4
urn:cite:hclat:verbAnalyses.75,urn:cite:hclat:analyses.1164,,singular,perfect,participle,passive,masculine,genitive,pp4
urn:cite:hclat:verbAnalyses.76,urn:cite:hclat:analyses.1164,,singular,perfect,participle,passive,neuter,genitive,pp4
urn:cite:hclat:verbAnalyses.77,urn:cite:hclat:analyses.1164,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.78,urn:cite:hclat:analyses.1167,2nd,singular,present,imperative,active,,,conj4
urn:cite:hclat:verbAnalyses.79,urn:cite:hclat:analyses.1169,2nd,singular,present,imperative,active,,,conj2
urn:cite:hclat:verbAnalyses.80,urn:cite:hclat:analyses.117,1st,singular,present,indicative,active,,,conj1
urn:cite:hclat:verbAnalyses.81,urn:cite:hclat:analyses.1171,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.82,urn:cite:hclat:analyses.1171,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.83,urn:cite:hclat:analyses.1171,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.84,urn:cite:hclat:analyses.1171,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.85,urn:cite:hclat:analyses.1171,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.86,urn:cite:hclat:analyses.1171,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.87,urn:cite:hclat:analyses.1172,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.88,urn:cite:hclat:analyses.1174,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.89,urn:cite:hclat:analyses.1175,2nd,singular,present,imperative,active,,,conj3
urn:cite:hclat:verbAnalyses.90,urn:cite:hclat:analyses.1178,1st,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.91,urn:cite:hclat:analyses.1178,2nd,singular,present,imperative,active,,,irreg_pp1
urn:cite:hclat:verbAnalyses.92,urn:cite:hclat:analyses.1185,2nd,singular,present,indicative,active,,,conj2
urn:cite:hclat:verbAnalyses.93,urn:cite:hclat:analyses.1186,3rd,plural,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.94,urn:cite:hclat:analyses.1187,3rd,singular,perfect,indicative,active,,,perfstem
urn:cite:hclat:verbAnalyses.95,urn:cite:hclat:analyses.1187,3rd,singular,present,indicative,active,,,conj3
urn:cite:hclat:verbAnalyses.96,urn:cite:hclat:analyses.1188,,plural,perfect,participle,passive,neuter,accusative,pp4
urn:cite:hclat:verbAnalyses.97,urn:cite:hclat:analyses.1188,,plural,perfect,participle,passive,neuter,nominative,pp4
urn:cite:hclat:verbAnalyses.98,urn:cite:hclat:analyses.1188,,plural,perfect,participle,passive,neuter,vocative,pp4
urn:cite:hclat:verbAnalyses.99,urn:cite:hclat:analyses.1188,,singular,perfect,participle,passive,feminine,ablative,pp4
urn:cite:hclat:verbAnalyses.100,urn:cite:hclat:analyses.1188,,singular,perfect,participle,passive,feminine,nominative,pp4
urn:cite:hclat:verbAnalyses.101,urn:cite:hclat:analyses.1188,,singular,perfect,participle,passive,feminine,vocative,pp4
urn:cite:hclat:verbAnalyses.102,urn:cite:hclat:analyses.1189,,singular,perfect,participle,passive,feminine,accusative,pp4
