ImageUrn,DateTaken,Location,Notes,Label,
urn:cite:shot:epigimg.IMG_7095,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7113,3/6/2013,Naples Archaeological Museum,Temple of Isis,"Naples Archaeological Museum, Temple of Isis",
urn:cite:shot:epigimg.IMG_7117,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7119,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7120,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7121,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7122,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7123,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7124,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7125,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7126,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7127,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7128,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7129,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7130,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7131,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7132,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7133,3/6/2013,Naples Archaeological Museum,,Naples Archaeological Museum,
urn:cite:shot:epigimg.IMG_7253,3/11/2013,Piazza di Montecitorio,horologium of Augustus,"Piazza di Montecitorio, horologium of Augustus",
urn:cite:shot:epigimg.IMG_7635,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7636,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7638,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7639,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7640,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7641,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7642,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7643,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7645,4/1/2013,Capitoline Museum,,Capitoline Museum,
urn:cite:shot:epigimg.IMG_7935,4/8/2013,Piazza della Bocca della Verita,,Piazza della Bocca della Verita,
urn:cite:shot:epigimg.IMG_7992,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7993,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7994,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7995,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7996,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7997,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_7999,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8000,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8001,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8002,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8003,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8004,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8005,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8006,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8007,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8008,4/12/2013,San Silvestro,,San Silvestro,
urn:cite:shot:epigimg.IMG_8029,4/15/2013,Roman Forum,Arch of Titus,"Roman Forum, Arch of Titus",
urn:cite:shot:epigimg.IMG_8039,4/15/2013,Arch of Constantine,main inscription,"Arch of Constantine, main inscription",
urn:cite:shot:epigimg.IMG_8040,4/15/2013,Arch of Constantine,interior inscription,"Arch of Constantine, interior inscription",
