Part of Speech,Latin Vocab Entry,English Definition,Chapter
Verb,"pereo, perire, perii or -ivi, periturus","to perish, die",23
Verb,"redeo, redire, redii or -ivi, rediturus","to go back, return",23
Verb,"subeo, subire, subii or - ivi, subiturus",to go up; to undergo; to approach,23
Verb,"transeo, transire, transii or -ivi, transiturus","to go across, cross",23
Verb,"fero, ferre, tuli, latus","to carry, bear, endure; report, say",23
Verb,"adfero, adferre, attuli, adlatus",to bring to; cause,23
Verb,"aufero, auferre, abstuli, ablatus","to carry away, take away",23
Verb,"confero, conferre, contuli, collatus","to bring together, collect; compare; contribute",23
Verb,se conferre,"to proceed, go",23
Verb,"infero, inferre, intuli, illatus","to bring in, introduce; inflict",23
Verb,"offero, offerre, obtuli, oblatus","to offer, bring forward",23
Verb,"refero, referre, rettuli, relatus","to carry back, bring back, report",23
Verb,"tollo, tollere, sustuli, sublatus","to lift up, raise; remove, carry off, steal",23
Adjective,"infelix, infelicis","unhappy, unlucky",23
Adjective,"cunctus, cuncta, cunctum","the whole, all (collectively)",23
Noun,"fructus, fructus m.","fruit, enjoyment; profit",24
Noun,"gloria, gloriae f.","glory, fame; ambition, boasting",24
Noun,"memoria, memoriae f.","memory, recollection; history",24
Noun,"motus, motus m.","emotion, impulse; movement",24
Verb,"accido, accidere, accidi",to fall at or near; happen,24
Verb,"adsum, adesse, adfui, adfuturus","to be present, be near",24
Verb,"appello, appellare, appellavi, appellatus","to name, call upon, address",24
Verb,"bibo, bibere, bibi, bibiturus",to drink,24
Verb,"despero, desperare, depseravi, desperatus",to despair,24
Verb,"dimitto, dimittere, dimisi, dimissus","to send away, send forth; dismiss; abandon",24
Verb,"floreo, florere, florui","to bloom; prosper, flourish",24
Verb,"hortor, hortari, hortatus sum","to urge, encourage",24
Verb,"neglego, neglegere, neglexi, neglectus","to ignore, neglect",24
Adjective,"beatus, beata, beatum","happy, blessed; prosperous",24
Adjective,"rectus, recta, rectum","straight up, upright; right; virtuous, honest",24
Adverb,denique,"finally, at last; in short; in fact",24
Adverb,equidem,"truly, indeed",24
Adverb,forsitan,perhaps,24
Adverb,utinam,"signals a wish; if only, would that",24
Coordinating Conjunction,an,or,24
Noun,"cupiditas, cupiditatis f.","desire, wish, longing, eagerness",25
Noun,"cupdo, cupidinis f.","desire, wish, longing, eagerness",25
Noun,"ingenium, ingeni n.","talent, (innate) nature, character",25
Noun,"iniuria, iniuriae f.","injury, harm; insult; wrong",25
Noun,"opus, operis n.","work, labor, task",25
Noun,opust est (+ dat.),there is a need / use (for),25
Noun,"murus, muri m.",wall; fortification wall for a city,25
Noun,"*ponus, pontis m.",bridge,25
Verb,"iungo, iungere, iunxi, iunctus","to join, unite, connect; yoke",25
Verb,"mentior, mentiri, mentitus sum","to lie, speak or say falsely",25
Verb,"morior, mori, mortuus sum",to die,25
Adjective,"certus, certa, certum","fixed, established, certain; specified; reliable, sure",25
Adjective,certe (adv.),"certainly, surely, of course; at least",25
Adjective,"quantus, quanta, quantum",how much,25
Adverb,autem (postpositive),however; on the contrary,25
Adverb,cur,why?,25
Adverb,ne,not (used with imperative & perfect subjunctive),25
Adverb,quidem (postpositive),"indeed, certainly, in fact",25
Adverb,ne … quidem,not … even,25
Adverb,totiens,so often,25
Coordinating Conjunction,at,but; at least; then,25
Subordinating Conjunction,ne,in order that … not (used with subjunctive),25
Subordinating Conjunction,ut,in order that; so that,25
Noun,nefas n. (indeclinable),"sin, crime (Against divine law), wrong",26
Noun,"poena, poenae f.",penalty,26
Noun,poenam dare,to pay the penalty,26
Noun,"sol, solis m.",sun,26
Verb,"appropinquo, appropinquare, approprinquavi, appropinquaturus","to approach, draw near",26
Verb,"exspecto, exspectare, exspectavi, exspectatus","to wait for, expect; hope for",26
Verb,"tremo, tremere, tremui","to tremble, shake",26
Adjective,"dirus, dira, dirum","awful, horrible",26
Adjective,"latus, lata, latum","wide, broad",26
Adjective,"meastus, maesta, maestum","sad, mournful",26
Adverb,postea,afterwards,26
Adverb,quoque,also,26
Adverb,unde,"from where, whence",26
Pronoun,"aliquis, aliquid","someone, something, anyone, anything",26
Pronoun,"quisquis, quicquid (quidquid)","whoever, whatever; everyone who",26
Subordinating Conjunction,cum,"when; because, since; although",26
Subordinating Conjunction,dum,until (with the subjunctive),26
Noun,"amicitia, amicitiae f.",friendship,27
Noun,"imperator, imperatoris m.",general;emperor,27
Noun,"iudex, iudicis m.",judge,27
Noun,"odium, odii n.","hatred, unpopularity",27
Noun,"philosophia, philosophiae f.",philosophy,27
Noun,"sensu, sensus m.","sense, perception; emotion; idea",27
Noun,"socius, socii m.","companion, comrade, ally",27
Noun,"victoria, victoriae f.",victory,27
Verb,"concedo, concedere, concessi, concessurus","to go away, withdraw; yield to, submit; allow; forgive",27
Verb,"conservo, conservare, conservavi, conservatus","to save, preserve, keep",27
Verb,"conspicio, conspicere, conspexi, conspectus","to observe, catch sight of, look at",27
Verb,"metuo, metuere, metui, metutus","to fear, dread",27
Verb,"odi, odisse",to hate; dislike,27
Verb,"vereor, vereri, veritus sum","to fear, be afraid; respect",27
Adverb,num,"signals a question which expects the answer ""no""; whether",27
Subordinating Conjunction,nisi = ni,"unless, if … not",27
Subordinating Conjunction,sin,"but if, if however",27
Noun,"canis, canis m. or f.",dog,28
Noun,"gladius, gladii m.",sword,28
Noun,"oppidum, oppidi n.",town,28
Noun,"telum, teli n.",weapon; spear,28
Noun,"tempestas, tempestatis f.",storm; weather,28
Verb,"eripio, eripere, eripui, ereptus","to snatch away; rescue, free",28
Verb,"fio, fieri, factus sum","to happen, occur; be done, be made",28
Verb,"impero, imperare, imperavi, imperatus (+ dat.)","to command, order; rule (over)",28
Verb,mos est,"it is the custom, habit, way",28
Verb,"requiro, requirere, requisivi or -ii, requisitus","to search for; ask, inquire after; demand",28
Verb,"rogo, rogare, rogavi, rogatus","to ask, ask for",28
Adjective,quot (indeclinable),how many?,28
Adverb,quomodo,how,28
Adverb,quotiens,how often?,28
Adverb,statim,"immediately, at once",28
Adverb,undique,on all sides,28
Preposition,apud (+ acc.),"among, with, near, at (th house of)",28
Noun,"occasio, occasionis f.","occasion, opportunity",29
Noun,"studium, studii n.","eagerness, zeal; study",29
Noun,"voluptas, voluptatis f.","pleasure, delight",29
Verb,"committo, committere, commisi, commissus","to join, unite, engage in",29
Verb,"convenio, convenire, conveni, conventurus","to assemble, gather; meet; agree",29
Verb,"probo, probare, probavi, probatus","to approve (of); prove, show",29
Adjective,"civilis, civile","civil, public, political",29
Adjective,"peritus, perita, peritum","experienced, skilful",29
Adjective,"utilis, utile","useful, profitable",29
Adjective,"verus, vera, verum",true,29
Adjective,"verum, veri n.","truth, what is true",29
Adverb,male,badly,29
Adverb,tamquam,"as, just as, just like",29
Noun,"Aeneas, Aeneae m. (Aenean (acc.))","Aeneas, leader of the Trojans",30
Noun,"aura, aurae f.",breeze; air,30
Verb,"coepi, coepisse, coeptus","began (a ""defective"" verb with no present system)",30
Verb,"nascor, nasci, natus sum",to be born,30
Verb,"natus, nati m.",son,30
Adjective,"celsus, celsa, celsum",high,30
Adjective,"Troianus, Troiana, Troianum",Trojan,30
Adverb,circiter,"about, near",30
Adverb,deinde,"then, next",30
Adverb,iterum,"again, a second time",30
Adverb,primum,"first, in the first place, for the first time",30
Adverb,prius,"before, sooner",30
Coordinating Conjunction,-ve,or,30
Noun,fas n. (indeclinable),right; divine law,31
Noun,fas est,it is right,31
Noun,nefas est,it is wrong,31
Noun,"impedimentum, impedimenti n.","hindrance, obstacle",31
Noun,"insidiae, insidiarum f. (pl.)","ambush, plot; treachery",31
Noun,"lumen, luminis n.","light, lamp, torch; eye",31
Noun,"tellus, telluris f.","the earth; land, ground",31
Verb,"licet, licere, licuit (impersonal + dat.)","it is allowed, it is lawful",31
Verb,"oportet, oportere, oportuit (impersonal + acc.)","it is right, one should; it is necessary",31
Adjective,"durus, dura, durum","hard, harsh, rough",31
Adjective,"honestus, honesta, honestum","honest, worthy, honorable",31
Adjective,"ignarus, ignara, ignarum","ignorant (of), unaware (of)",31
Adverb,hic,here,31
Adverb,hinc,from this place; hence,31
Verb,"recipio, recipere, recepi, receptus","to receive, accept; take back, regain",32
Adjective,"asper, aspera, asperum","rough, harsh; cruel",32
Adjective,"ferox, ferocis","fierce, bold; wild, savage",32
Adjective,"ferus, fera, ferum","wild, fierce; cruel; uncivilized",32
Adjective,"mirabilis, mirabile","wonderful, extraordinary",32
Adjective,"paulus, paula, paulum","little, small",32
Adverb,primo,at first,32
Coordinating Conjunction,ut,"as, when",32
