Image Reference,Location #
urn:cite:shot:epigimg.IMG_0821,urn:cite:shot:epigsite.pl1
urn:cite:shot:epigimg.IMG_2314,urn:cite:shot:epigsite.pl2
urn:cite:shot:epigimg.IMG_2496,urn:cite:shot:epigsite.pl3
urn:cite:shot:epigimg.IMG_2501,urn:cite:shot:epigsite.pl3
urn:cite:shot:epigimg.IMG_2717,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2719,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2721,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2723,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2725,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_2727,urn:cite:shot:epigsite.pl4
urn:cite:shot:epigimg.IMG_4579,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4580,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4596,urn:cite:shot:epigsite.pl5
urn:cite:shot:epigimg.IMG_4611,urn:cite:shot:epigsite.pl6
urn:cite:shot:epigimg.IMG_4630,urn:cite:shot:epigsite.pl7
urn:cite:shot:epigimg.IMG_4785,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4789,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4792,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_4798,urn:cite:shot:epigsite.pl8
urn:cite:shot:epigimg.IMG_5073,urn:cite:shot:epigsite.pl9
urn:cite:shot:epigimg.IMG_5211,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5212,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5213,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5214,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5215,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5216,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5217,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5218,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5219,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5220,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5221,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5232,urn:cite:shot:epigsite.pl10
urn:cite:shot:epigimg.IMG_5239,urn:cite:shot:epigsite.pl11
urn:cite:shot:epigimg.IMG_5304,urn:cite:shot:epigsite.pl12
urn:cite:shot:epigimg.IMG_5305,urn:cite:shot:epigsite.pl12
