Location,Tags
"urn:cite:shot:epigimg.IMG_4611@0.376,0.5813,0.272,0.0667",urn:cite:hclat:topic.ablsg3
"urn:cite:shot:epigimg.IMG_4611@0.645,0.5933,0.226,0.0587",urn:cite:hclat:topic.ppftactind
"urn:cite:shot:epigimg.IMG_4611@0.33,0.704,0.337,0.0773",urn:cite:hclat:topic.supadj
"urn:cite:shot:epigimg.IMG_4611@0.33,0.704,0.337,0.0773",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_4611@0.658,0.72,0.181,0.06",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_4611@0.261,0.7013,0.579,0.14",urn:cite:hclat:topic.purpose
"urn:cite:shot:epigimg.IMG_4611@0.334,0.828,0.149,0.0747",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_4611@0.484,0.8307,0.122,0.068",urn:cite:hclat:topic.ablsg2
"urn:cite:shot:epigimg.IMG_4611@0.484,0.8307,0.122,0.068",urn:cite:hclat:topic.abltime
"urn:cite:shot:epigimg.IMG_4630@0.649,0.348,0.095,0.0493",urn:cite:hclat:topic.pftactind
"urn:cite:shot:epigimg.IMG_4785@0.096,0.4733,0.182,0.144",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4785@0.282,0.2427,0.466,0.2867",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4785@0.108,0.5613,0.194,0.116",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4785@0.284,0.4013,0.354,0.1973",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4785@0.647,0.3067,0.207,0.168",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_4789@0.1722,0.078,0.6136,0.0998",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4789@0.1942,0.1583,0.5756,0.09",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4789@0.2553,0.7637,0.4464,0.0698",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_4789@0.2082,0.7149,0.5375,0.057",urn:cite:hclat:topic.gensg3
"urn:cite:shot:epigimg.IMG_4792@0.112,0.264,0.431,0.1533",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4792@0.521,0.304,0.209,0.1187",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_4792@0.352,0.4293,0.344,0.1653",urn:cite:hclat:topic.datsg1
"urn:cite:shot:epigimg.IMG_4792@0.405,0.7307,0.185,0.1093",urn:cite:hclat:topic.ablpl2
"urn:cite:shot:epigimg.IMG_4792@0.359,0.7147,0.229,0.148",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_4798@0.151,0.3413,0.141,0.0333",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4798@0.387,0.344,0.037,0.028",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4798@0.419,0.3413,0.101,0.032",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_4798@0.548,0.3453,0.063,0.0293",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_4798@0.102,0.3653,0.101,0.0267",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4798@0.176,0.3853,0.082,0.0293",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4798@0.292,0.3853,0.109,0.028",urn:cite:hclat:topic.datsg2
"urn:cite:shot:epigimg.IMG_4798@0.479,0.388,0.069,0.028",urn:cite:hclat:topic.datsg3
"urn:cite:shot:epigimg.IMG_4798@0.287,0.4067,0.092,0.0293",urn:cite:hclat:topic.datpl2
"urn:cite:shot:epigimg.IMG_4798@0.375,0.408,0.166,0.0307",urn:cite:hclat:topic.datpl2
"urn:cite:shot:epigimg.IMG_4798@0.54,0.412,0.126,0.028",urn:cite:hclat:topic.datpl3
"urn:cite:shot:epigimg.IMG_4798@0.1,0.4307,0.047,0.0267",urn:cite:hclat:topic.accsg5
"urn:cite:shot:epigimg.IMG_4798@0.141,0.428,0.109,0.0307",urn:cite:hclat:topic.accsg1
"urn:cite:shot:epigimg.IMG_4798@0.248,0.428,0.14,0.0333",urn:cite:hclat:topic.accsg1
"urn:cite:shot:epigimg.IMG_4798@0.248,0.428,0.14,0.0333",urn:cite:hclat:topic.pftpaspart
"urn:cite:shot:epigimg.IMG_4798@0.076,0.4253,0.819,0.0347",urn:cite:hclat:topic.prep
"urn:cite:shot:epigimg.IMG_4798@0.39,0.4307,0.15,0.0293",urn:cite:hclat:topic.accsg2
"urn:cite:shot:epigimg.IMG_4798@0.538,0.4293,0.174,0.036",urn:cite:hclat:topic.gensg2
"urn:cite:shot:epigimg.IMG_4798@0.727,0.432,0.158,0.0307",urn:cite:hclat:topic.accsg2
"urn:cite:shot:epigimg.IMG_4798@0.727,0.432,0.158,0.0307",urn:cite:hclat:topic.pftpaspart
