Image,Edition
urn:cite:shot:epigimg.IMG_7635,urn:cts:latepig:inscriptions.doc78
urn:cite:shot:epigimg.IMG_7635,urn:cts:latepig:inscriptions.doc79
urn:cite:shot:epigimg.IMG_7636,urn:cts:latepig:inscriptions.doc80
urn:cite:shot:epigimg.IMG_7638,urn:cts:latepig:inscriptions.doc81
urn:cite:shot:epigimg.IMG_7639,urn:cts:latepig:inscriptions.doc82
urn:cite:shot:epigimg.IMG_7640,urn:cts:latepig:inscriptions.doc83
urn:cite:shot:epigimg.IMG_7641,urn:cts:latepig:inscriptions.doc84
urn:cite:shot:epigimg.IMG_7642,urn:cts:latepig:inscriptions.doc85
urn:cite:shot:epigimg.IMG_7645,urn:cts:latepig:inscriptions.doc86
urn:cite:shot:epigimg.IMG_7935,urn:cts:latepig:inscriptions.doc87
urn:cite:shot:epigimg.IMG_7992,urn:cts:latepig:inscriptions.doc88
urn:cite:shot:epigimg.IMG_7994,urn:cts:latepig:inscriptions.doc89
urn:cite:shot:epigimg.IMG_7995,urn:cts:latepig:inscriptions.doc90
urn:cite:shot:epigimg.IMG_7996,urn:cts:latepig:inscriptions.doc91
urn:cite:shot:epigimg.IMG_7997,urn:cts:latepig:inscriptions.doc92
urn:cite:shot:epigimg.IMG_7999,urn:cts:latepig:inscriptions.doc93
urn:cite:shot:epigimg.IMG_8000,urn:cts:latepig:inscriptions.doc94
urn:cite:shot:epigimg.IMG_8001,urn:cts:latepig:inscriptions.doc95
urn:cite:shot:epigimg.IMG_8002,urn:cts:latepig:inscriptions.doc96
urn:cite:shot:epigimg.IMG_8003,urn:cts:latepig:inscriptions.doc97
urn:cite:shot:epigimg.IMG_8004,urn:cts:latepig:inscriptions.doc98
urn:cite:shot:epigimg.IMG_8005,urn:cts:latepig:inscriptions.doc99
urn:cite:shot:epigimg.IMG_8006,urn:cts:latepig:inscriptions.doc100
urn:cite:shot:epigimg.IMG_8007,urn:cts:latepig:inscriptions.doc101
urn:cite:shot:epigimg.IMG_8008,urn:cts:latepig:inscriptions.doc102
urn:cite:shot:epigimg.IMG_8029,urn:cts:latepig:inscriptions.doc103
urn:cite:shot:epigimg.IMG_8039,urn:cts:latepig:inscriptions.doc104
