urn:cite:shot:epigimg.IMG_5471,"Rome, Piazza del Poolo","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5759,Ostia,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5784,"Ostia Antica, shop mosaic","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5785,"Ostia Antica, shop mosaic","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5787,"Ostia Antica, shop mosaic","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5794,"Ostia Antica, shop mosaic","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5795,Ostia Antica,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5796,Ostia Antica,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5798,Ostia Antica,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5803,"Ostia Antica, altar to Venus","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_5831,"Ostia Antica, house","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6398,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6416,Capitoline Museum,"Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6516,"Piazza di Montecitorio, horologium of Augustus","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6597,"Roman Forum, Temple of Saturn","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6717,"Rome, Colosseum","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
urn:cite:shot:epigimg.IMG_6720,"Colosseum, altar to Isis","Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License"
